volume,low,timestamp,close,open,high
4521648,199.1000,2019-06-20,199.3200,200.3700,200.6000
21066077,197.3100,2019-06-19,197.8700,199.6800,199.8800
26551004,195.2100,2019-06-18,198.4500,196.0500,200.2900
14669144,192.1700,2019-06-17,193.8900,192.9000,194.9600
18761474,190.3000,2019-06-14,192.7400,191.5450,193.5863
21674625,193.6000,2019-06-13,194.1500,194.7000,196.7900
18253189,193.3850,2019-06-12,194.1900,193.9500,195.9700
26932882,193.6000,2019-06-11,194.8100,194.8600,196.0000
26220851,191.6200,2019-06-10,192.5800,191.8100,195.3700
30684393,185.7700,2019-06-07,190.1500,186.5100,191.9200
22526311,182.1489,2019-06-06,185.2200,183.0800,185.4700
29773427,181.1400,2019-06-05,182.5400,184.2800,184.9900
30967961,174.5200,2019-06-04,179.6400,175.4400,179.8300
40396069,170.2700,2019-06-03,173.3000,175.6000,177.9200
27043584,174.9900,2019-05-31,175.0700,176.2300,177.9900
21218412,176.6700,2019-05-30,178.3000,177.9500,179.2300
28481165,176.0000,2019-05-29,177.3800,176.4200,179.3500
27948160,177.9100,2019-05-28,178.2300,178.9200,180.5900
23714686,178.6200,2019-05-24,178.9700,180.2000,182.1400
36529736,177.8100,2019-05-23,179.6600,179.8000,180.5400
29748556,182.5500,2019-05-22,182.7800,184.6600,185.7100
28364848,184.7000,2019-05-21,186.6000,185.2200,188.0000
38612290,180.2839,2019-05-20,183.0900,183.5200,184.3490
32879090,186.7600,2019-05-17,189.0000,186.9300,190.9000
33031364,188.8400,2019-05-16,190.0800,189.9100,192.4689
26544718,186.0200,2019-05-15,190.9200,186.2700,191.7500
36529677,185.4100,2019-05-14,188.6600,186.4100,189.7000
57430623,182.8500,2019-05-13,185.7200,187.7100,189.4800
41208712,192.7700,2019-05-10,197.1800,197.4190,198.8500
34908607,196.6600,2019-05-09,200.7200,200.4000,201.6800
26339504,201.7500,2019-05-08,202.9000,201.9000,205.3400
38763698,200.8250,2019-05-07,202.8600,205.8800,207.4175
32443113,203.5000,2019-05-06,208.4800,204.2900,208.8400
20892378,210.2300,2019-05-03,211.7500,210.8900,211.8400
31996324,208.1300,2019-05-02,209.1500,209.8400,212.6500
64827328,209.2300,2019-05-01,210.5200,209.8800,215.3100
46534923,199.1100,2019-04-30,200.6700,203.0600,203.4000
22204716,203.8600,2019-04-29,204.6100,204.4000,205.9700
18649102,202.1200,2019-04-26,204.3000,204.9000,205.0000
18543206,205.1200,2019-04-25,205.2800,206.8300,207.7600
17540609,207.0500,2019-04-24,207.1600,207.3600,208.4800
23322991,203.9000,2019-04-23,207.4800,204.4300,207.7500
19439545,202.3400,2019-04-22,204.5300,202.8300,204.9400
24195766,202.5200,2019-04-18,203.8600,203.1200,204.1500
28906780,198.6100,2019-04-17,203.1300,199.5400,203.3800
25696385,198.5600,2019-04-16,199.2500,199.4600,201.3700
17536646,198.0100,2019-04-15,199.2300,198.5800,199.8500
27760668,196.2100,2019-04-12,198.8700,199.2000,200.1400
20900808,198.4431,2019-04-11,198.9500,200.8500,201.0000
21695288,198.1800,2019-04-10,200.6200,198.6800,200.7400
35768237,199.2300,2019-04-09,199.5000,200.3200,202.8500
25881697,196.3400,2019-04-08,200.1000,196.4200,200.2300
18526644,195.9300,2019-04-05,197.0000,196.4500,197.1000
19114275,193.1400,2019-04-04,195.6900,194.7900,196.3700
23271830,193.1500,2019-04-03,195.3500,193.2500,196.5000
22765732,191.0500,2019-04-02,194.0200,191.0900,194.4600
27861964,188.3800,2019-04-01,191.2400,191.6400,191.6800
23563961,188.5400,2019-03-29,189.9500,189.8300,190.0800
20780363,187.5300,2019-03-28,188.7200,188.9500,189.5590
29848427,186.5500,2019-03-27,188.4700,188.7500,189.7600
49800538,184.5800,2019-03-26,186.7900,191.6640,192.8800
43845293,186.6000,2019-03-25,188.7400,191.5100,191.9800
42407666,190.7800,2019-03-22,191.0500,195.3400,197.6900
51034237,189.8100,2019-03-21,195.0900,190.0200,196.3300
31035231,184.7300,2019-03-20,188.1600,186.2300,189.4900
31646369,185.9200,2019-03-19,186.5300,188.3500,188.9900
26219832,185.7900,2019-03-18,188.0200,185.8000,188.3900
39042912,183.7400,2019-03-15,186.1200,184.8500,187.3300
23579508,182.5600,2019-03-14,183.7300,183.9000,184.1000
31032524,180.9200,2019-03-13,181.7100,182.2500,183.3000
32467584,179.3700,2019-03-12,180.9100,180.0000,182.6700
32011034,175.3500,2019-03-11,178.9000,175.4900,179.1200
23999358,169.5000,2019-03-08,172.9100,170.3200,173.0700
24796374,172.0200,2019-03-07,172.5000,173.8700,174.4400
20810384,173.9400,2019-03-06,174.5200,174.6700,175.4900
19737419,174.5400,2019-03-05,175.5300,175.9400,176.0000
27436203,173.9700,2019-03-04,175.8500,175.6900,177.7500
25886167,172.8900,2019-03-01,174.9700,174.2800,175.1500
28215416,172.9200,2019-02-28,173.1500,174.3200,174.9100
27835389,172.7300,2019-02-27,174.8700,173.2100,175.0000
17070211,173.1732,2019-02-26,174.3300,173.7100,175.3000
21873358,173.9500,2019-02-25,174.2300,174.1600,175.8700
18913154,171.3800,2019-02-22,172.9700,171.5800,173.0000
17249670,170.3000,2019-02-21,171.0600,171.8000,172.3700
26114362,170.9900,2019-02-20,172.0300,171.1900,173.3200
18972826,169.4900,2019-02-19,170.9300,169.7100,171.4400
24626814,169.7500,2019-02-15,170.4200,171.2500,171.7000
21835747,169.3800,2019-02-14,170.8000,169.7100,171.2615
22490233,169.9200,2019-02-13,170.1800,171.3900,172.4800
22283523,169.7000,2019-02-12,170.8900,170.1000,171.0000
20993425,169.2500,2019-02-11,169.4300,171.0500,171.2100
23819966,168.4200,2019-02-08,170.4100,168.9900,170.6600
31741690,170.3400,2019-02-07,170.9400,172.4000,173.9400
28239591,172.8531,2019-02-06,174.2400,174.6500,175.5700
36101628,172.3501,2019-02-05,174.1800,172.8600,175.0800
31495582,167.2800,2019-02-04,171.2500,167.4100,171.6550
32668138,165.9300,2019-02-01,166.5200,166.9600,168.9800
40739649,164.5600,2019-01-31,166.4400,166.1100,169.0000
61109780,160.2300,2019-01-30,165.2500,163.2500,166.1500
41587239,154.1100,2019-01-29,154.6800,156.2500,158.1300
